cycle,SOH,capacity_Ah,temperature_C,R0_ohm,voltage_end_V,RUL,cell_id
0,1.0,2.0,23.892,0.16,3.1996,167,B0006
1,0.99966,1.99932,23.058,0.16002,3.2004,166,B0006
2,0.99835,1.99669,24.025,0.16011,3.1993,165,B0006
3,0.99751,1.99501,25.036,0.16016,3.1988,164,B0006
4,0.99628,1.99257,23.99,0.16024,3.1967,163,B0006
5,0.99628,1.99257,26.33,0.16024,3.1981,162,B0006
6,0.99593,1.99186,25.97,0.16026,3.197,161,B0006
7,0.99534,1.99069,24.936,0.1603,3.1982,160,B0006
8,0.99417,1.98834,26.02,0.16037,3.1995,159,B0006
9,0.99417,1.98834,26.057,0.16037,3.1969,158,B0006
10,0.99367,1.98734,25.803,0.16041,3.1978,157,B0006
11,0.99246,1.98492,26.23,0.16048,3.1972,156,B0006
12,0.99156,1.98312,25.834,0.16054,3.1946,155,B0006
13,0.99098,1.98196,25.958,0.16058,3.1962,154,B0006
14,0.99008,1.98016,26.212,0.16063,3.1947,153,B0006
15,0.98981,1.97963,26.117,0.16065,3.1945,152,B0006
16,0.98881,1.97762,25.955,0.16072,3.1952,151,B0006
17,0.98873,1.97747,25.845,0.16072,3.1938,150,B0006
18,0.98758,1.97516,26.01,0.16079,3.1933,149,B0006
19,0.9869,1.97381,25.751,0.16084,3.1942,148,B0006
20,0.9869,1.97381,24.572,0.16084,3.1947,147,B0006
21,0.98536,1.97071,24.576,0.16094,3.1927,146,B0006
22,0.98426,1.96851,25.46,0.16101,3.1928,145,B0006
23,0.98426,1.96851,25.273,0.16101,3.1907,144,B0006
24,0.98264,1.96528,24.524,0.16111,3.1912,143,B0006
25,0.98264,1.96528,23.859,0.16111,3.1918,142,B0006
26,0.98264,1.96528,24.157,0.16111,3.1905,141,B0006
27,0.98168,1.96335,23.841,0.16117,3.1915,140,B0006
28,0.98096,1.96193,22.489,0.16122,3.1908,139,B0006
29,0.97925,1.95851,23.07,0.16133,3.1899,138,B0006
30,0.97925,1.95851,22.124,0.16133,3.1908,137,B0006
31,0.97912,1.95824,22.401,0.16134,3.1908,136,B0006
32,0.97765,1.95531,22.475,0.16143,3.1876,135,B0006
33,0.97765,1.95531,23.172,0.16143,3.1882,134,B0006
34,0.97627,1.95254,21.132,0.16152,3.1887,133,B0006
35,0.97536,1.95072,21.92,0.16158,3.1874,132,B0006
36,0.97461,1.94923,22.377,0.16162,3.1893,131,B0006
37,0.97461,1.94923,22.338,0.16162,3.1884,130,B0006
38,0.97433,1.94866,22.429,0.16164,3.1863,129,B0006
39,0.9737,1.9474,21.539,0.16168,3.1861,128,B0006
40,0.97263,1.94526,22.033,0.16175,3.1851,127,B0006
41,0.97171,1.94343,21.959,0.16181,3.1862,126,B0006
42,0.97171,1.94343,22.966,0.16181,3.1853,125,B0006
43,0.97031,1.94062,22.39,0.1619,3.1845,124,B0006
44,0.96948,1.93895,22.64,0.16195,3.1835,123,B0006
45,0.96948,1.93895,22.92,0.16195,3.1856,122,B0006
46,0.96881,1.93762,22.382,0.162,3.1837,121,B0006
47,0.96828,1.93655,23.523,0.16203,3.1832,120,B0006
48,0.96767,1.93535,22.95,0.16207,3.1819,119,B0006
49,0.96639,1.93279,23.841,0.16215,3.1836,118,B0006
50,0.96573,1.93147,23.637,0.16219,3.1831,117,B0006
51,0.96564,1.93128,24.85,0.1622,3.1836,116,B0006
52,0.96433,1.92866,24.516,0.16228,3.1836,115,B0006
53,0.96413,1.92826,25.702,0.1623,3.1823,114,B0006
54,0.96324,1.92647,23.847,0.16235,3.1813,113,B0006
55,0.962,1.92401,25.862,0.16243,3.1794,112,B0006
56,0.962,1.92401,25.799,0.16243,3.1811,111,B0006
57,0.9606,1.92119,25.687,0.16252,3.1807,110,B0006
58,0.9606,1.92119,26.792,0.16252,3.1806,109,B0006
59,0.95991,1.91983,25.096,0.16257,3.178,108,B0006
60,0.95983,1.91967,26.008,0.16257,3.1812,107,B0006
61,0.95796,1.91592,26.588,0.16269,3.1796,106,B0006
62,0.95757,1.91514,26.3,0.16272,3.1784,105,B0006
63,0.95711,1.91422,25.807,0.16274,3.1783,104,B0006
64,0.95657,1.91314,26.289,0.16278,3.1764,103,B0006
65,0.95623,1.91247,25.695,0.1628,3.1784,102,B0006
66,0.95528,1.91055,25.639,0.16286,3.1773,101,B0006
67,0.95445,1.9089,25.358,0.16292,3.1761,100,B0006
68,0.95427,1.90855,26.068,0.16293,3.1791,99,B0006
