cycle,SOH,capacity_Ah,temperature_C,R0_ohm,voltage_end_V,RUL,cell_id
0,1.0,2.0,24.142,0.16,3.1994,167,B0007
1,0.9993,1.9986,24.45,0.16004,3.2007,166,B0007
2,0.99866,1.99733,24.329,0.16009,3.2008,165,B0007
3,0.99832,1.99664,25.006,0.16011,3.1996,164,B0007
4,0.99741,1.99482,24.95,0.16017,3.2017,163,B0007
5,0.99654,1.99308,24.512,0.16022,3.1985,162,B0007
6,0.99531,1.99062,25.682,0.1603,3.1978,161,B0007
7,0.99424,1.98848,25.097,0.16037,3.1987,160,B0007
8,0.99419,1.98838,27.208,0.16037,3.1974,159,B0007
9,0.99299,1.98599,25.945,0.16045,3.1968,158,B0007
10,0.99291,1.98583,25.753,0.16045,3.1961,157,B0007
11,0.99186,1.98371,26.381,0.16052,3.1964,156,B0007
12,0.99063,1.98125,26.719,0.1606,3.1936,155,B0007
13,0.99038,1.98077,26.745,0.16062,3.1945,154,B0007
14,0.98985,1.97971,26.109,0.16065,3.1938,153,B0007
15,0.98884,1.97768,26.43,0.16071,3.1922,152,B0007
16,0.98761,1.97522,26.155,0.16079,3.1949,151,B0007
17,0.98738,1.97476,25.728,0.16081,3.1934,150,B0007
18,0.98668,1.97336,24.78,0.16085,3.1924,149,B0007
19,0.98616,1.97232,25.375,0.16089,3.1935,148,B0007
20,0.98536,1.97072,23.887,0.16094,3.1914,147,B0007
21,0.9838,1.96759,24.516,0.16104,3.1928,146,B0007
22,0.98325,1.9665,25.412,0.16107,3.1931,145,B0007
23,0.98305,1.96611,24.582,0.16108,3.1901,144,B0007
24,0.98115,1.9623,24.224,0.16121,3.1918,143,B0007
25,0.98115,1.9623,23.559,0.16121,3.1908,142,B0007
26,0.98008,1.96016,23.317,0.16127,3.1912,141,B0007
27,0.97954,1.95908,23.155,0.16131,3.19,140,B0007
28,0.97954,1.95908,22.563,0.16131,3.1889,139,B0007
29,0.97822,1.95644,21.896,0.16139,3.1875,138,B0007
30,0.97735,1.9547,23.334,0.16145,3.1875,137,B0007
31,0.97689,1.95378,23.452,0.16148,3.1879,136,B0007
32,0.97595,1.95191,22.134,0.16154,3.189,135,B0007
33,0.97494,1.94987,22.689,0.1616,3.1881,134,B0007
34,0.97462,1.94925,21.568,0.16162,3.1876,133,B0007
35,0.97462,1.94925,22.267,0.16162,3.1888,132,B0007
36,0.97346,1.94692,21.336,0.1617,3.1849,131,B0007
37,0.97247,1.94494,22.452,0.16176,3.185,130,B0007
38,0.97163,1.94326,22.024,0.16182,3.1847,129,B0007
39,0.97115,1.9423,21.391,0.16185,3.1856,128,B0007
40,0.97031,1.94062,22.365,0.1619,3.1835,127,B0007
41,0.96882,1.93764,23.009,0.162,3.1838,126,B0007
42,0.96875,1.93751,22.307,0.162,3.1858,125,B0007
43,0.96778,1.93555,22.431,0.16206,3.1849,124,B0007
44,0.96778,1.93555,22.629,0.16206,3.1855,123,B0007
45,0.96614,1.93229,22.88,0.16217,3.1825,122,B0007
46,0.96613,1.93225,23.654,0.16217,3.182,121,B0007
47,0.96417,1.92834,23.902,0.16229,3.1824,120,B0007
48,0.96416,1.92831,22.44,0.16229,3.1811,119,B0007
49,0.96289,1.92579,24.346,0.16237,3.1814,118,B0007
50,0.96206,1.92412,23.891,0.16243,3.1809,117,B0007
51,0.96206,1.92412,25.077,0.16243,3.1816,116,B0007
52,0.96051,1.92102,24.72,0.16253,3.1817,115,B0007
