cycle,SOH,capacity_Ah,temperature_C,R0_ohm,voltage_end_V,RUL,cell_id
0,1.0,2.0,23.922,0.16,3.1993,167,B0005
1,0.99876,1.99752,24.23,0.16008,3.1997,166,B0005
2,0.99876,1.99752,24.17,0.16008,3.2005,165,B0005
3,0.99831,1.99662,24.959,0.16011,3.1998,164,B0005
4,0.99614,1.99229,24.736,0.16025,3.1958,163,B0005
5,0.99575,1.9915,24.563,0.16027,3.1982,162,B0005
6,0.99574,1.99149,24.73,0.16027,3.1979,161,B0005
7,0.9948,1.9896,25.627,0.16033,3.1978,160,B0005
8,0.99423,1.98846,26.478,0.16037,3.1987,159,B0005
9,0.99309,1.98619,25.89,0.16044,3.1945,158,B0005
10,0.99309,1.98619,25.843,0.16044,3.196,157,B0005
11,0.99247,1.98494,26.107,0.16048,3.1968,156,B0005
12,0.99139,1.98279,26.649,0.16055,3.1941,155,B0005
13,0.9912,1.98241,26.106,0.16056,3.1971,154,B0005
14,0.99015,1.98031,25.759,0.16063,3.1954,153,B0005
15,0.98877,1.97754,26.455,0.16072,3.1952,152,B0005
16,0.98866,1.97733,26.024,0.16073,3.1938,151,B0005
17,0.98728,1.97456,26.457,0.16081,3.1945,150,B0005
18,0.98728,1.97456,25.633,0.16081,3.1947,149,B0005
19,0.9863,1.97259,24.757,0.16088,3.1934,148,B0005
20,0.98551,1.97102,24.491,0.16093,3.193,147,B0005
21,0.98454,1.96908,25.789,0.16099,3.1925,146,B0005
22,0.98454,1.96908,25.598,0.16099,3.1914,145,B0005
23,0.98336,1.96673,24.408,0.16106,3.1915,144,B0005
24,0.98251,1.96501,24.059,0.16112,3.1911,143,B0005
25,0.98182,1.96365,24.731,0.16116,3.1913,142,B0005
26,0.98155,1.96309,23.196,0.16118,3.1918,141,B0005
27,0.98074,1.96149,23.055,0.16123,3.1893,140,B0005
28,0.98005,1.96009,23.585,0.16128,3.1899,139,B0005
29,0.97934,1.95867,22.839,0.16132,3.1911,138,B0005
30,0.97934,1.95867,22.822,0.16132,3.1889,137,B0005
31,0.97748,1.95495,22.549,0.16144,3.1879,136,B0005
32,0.9767,1.95341,22.628,0.16149,3.1886,135,B0005
33,0.97583,1.95167,23.015,0.16155,3.1888,134,B0005
34,0.97583,1.95166,22.236,0.16155,3.1879,133,B0005
35,0.97536,1.95073,22.42,0.16158,3.189,132,B0005
36,0.97402,1.94805,21.01,0.16166,3.1879,131,B0005
37,0.97294,1.94588,21.98,0.16173,3.1873,130,B0005
38,0.97223,1.94446,21.582,0.16178,3.1867,129,B0005
39,0.97223,1.94446,21.426,0.16178,3.1884,128,B0005
40,0.97157,1.94314,21.659,0.16182,3.1856,127,B0005
41,0.97075,1.9415,22.023,0.16187,3.1834,126,B0005
42,0.96943,1.93885,22.769,0.16196,3.1863,125,B0005
43,0.96916,1.93831,21.796,0.16197,3.1841,124,B0005
44,0.96838,1.93676,22.646,0.16202,3.1843,123,B0005
45,0.96771,1.93542,22.582,0.16207,3.1852,122,B0005
46,0.96732,1.93463,22.873,0.16209,3.1821,121,B0005
47,0.96627,1.93254,23.765,0.16216,3.1819,120,B0005
48,0.96578,1.93156,23.772,0.16219,3.1813,119,B0005
49,0.96475,1.92951,24.418,0.16226,3.1816,118,B0005
50,0.96414,1.92829,23.923,0.16229,3.1825,117,B0005
51,0.9636,1.92719,23.903,0.16233,3.1823,116,B0005
52,0.96183,1.92366,24.385,0.16244,3.1812,115,B0005
53,0.96168,1.92336,24.857,0.16245,3.1794,114,B0005
54,0.96088,1.92177,25.052,0.1625,3.1781,113,B0005
55,0.96008,1.92016,24.633,0.16255,3.1801,112,B0005
56,0.95954,1.91908,25.414,0.16259,3.1793,111,B0005
57,0.95954,1.91908,25.655,0.16259,3.1802,110,B0005
58,0.95781,1.91561,26.947,0.1627,3.1796,109,B0005
59,0.95781,1.91561,26.748,0.1627,3.179,108,B0005
60,0.95596,1.91192,25.475,0.16282,3.1787,107,B0005
61,0.95591,1.91183,25.821,0.16282,3.1782,106,B0005
62,0.95544,1.91088,25.264,0.16285,3.1783,105,B0005
63,0.95493,1.90987,25.701,0.16288,3.1768,104,B0005
64,0.95428,1.90855,26.122,0.16293,3.177,103,B0005
65,0.9536,1.90719,26.505,0.16297,3.177,102,B0005
66,0.95231,1.90461,25.445,0.16305,3.177,101,B0005
67,0.95153,1.90306,25.362,0.1631,3.1754,100,B0005
68,0.95147,1.90294,24.467,0.16311,3.1763,99,B0005
69,0.95022,1.90045,25.288,0.16319,3.1748,98,B0005
70,0.94896,1.89792,24.644,0.16327,3.1744,97,B0005
71,0.94831,1.89663,24.699,0.16331,3.175,96,B0005
72,0.9477,1.8954,24.298,0.16335,3.1719,95,B0005
73,0.94769,1.89538,24.45,0.16335,3.1725,94,B0005
74,0.94679,1.89358,23.372,0.16341,3.1719,93,B0005
75,0.94635,1.89269,23.266,0.16343,3.1708,92,B0005
76,0.94507,1.89013,24.814,0.16352,3.1719,91,B0005
77,0.94464,1.88928,22.859,0.16354,3.1731,90,B0005
78,0.94415,1.88831,22.715,0.16357,3.1718,89,B0005
79,0.94297,1.88593,23.955,0.16365,3.1717,88,B0005
80,0.94263,1.88526,24.277,0.16367,3.1724,87,B0005
81,0.94135,1.8827,22.045,0.16375,3.172,86,B0005
82,0.94078,1.88156,22.275,0.16379,3.1703,85,B0005
83,0.94005,1.8801,22.482,0.16384,3.1714,84,B0005
84,0.93892,1.87784,23.055,0.16391,3.1696,83,B0005
85,0.93892,1.87784,21.604,0.16391,3.1686,82,B0005
86,0.93785,1.87569,21.913,0.16398,3.1683,81,B0005
87,0.93737,1.87473,22.393,0.16401,3.1672,80,B0005
88,0.93688,1.87376,22.221,0.16404,3.1676,79,B0005
89,0.93614,1.87229,21.847,0.16409,3.1677,78,B0005
90,0.93553,1.87107,22.031,0.16413,3.1686,77,B0005
91,0.93443,1.86886,21.503,0.1642,3.1689,76,B0005
92,0.93355,1.8671,22.192,0.16425,3.1654,75,B0005
93,0.933,1.866,22.326,0.16429,3.1669,74,B0005
94,0.93148,1.86295,22.747,0.16439,3.1647,73,B0005
95,0.93088,1.86175,22.547,0.16442,3.1659,72,B0005
96,0.93022,1.86044,23.272,0.16447,3.165,71,B0005
97,0.92966,1.85932,23.77,0.1645,3.163,70,B0005
98,0.92964,1.85928,23.58,0.1645,3.1657,69,B0005
99,0.92827,1.85653,23.925,0.16459,3.1635,68,B0005
100,0.92781,1.85562,24.027,0.16462,3.1634,67,B0005
101,0.92781,1.85562,24.251,0.16462,3.1628,66,B0005
102,0.92638,1.85276,24.137,0.16471,3.1625,65,B0005
103,0.92621,1.85242,24.894,0.16472,3.1635,64,B0005
104,0.92465,1.84931,24.915,0.16482,3.1621,63,B0005
105,0.9243,1.84859,26.222,0.16484,3.1625,62,B0005
106,0.9232,1.84641,26.156,0.16491,3.162,61,B0005
107,0.92279,1.84558,25.734,0.16494,3.1627,60,B0005
108,0.92266,1.84532,25.307,0.16495,3.161,59,B0005
109,0.92066,1.84131,25.253,0.16508,3.1589,58,B0005
110,0.92066,1.84131,26.498,0.16508,3.1614,57,B0005
111,0.9202,1.8404,26.096,0.16511,3.1598,56,B0005
112,0.91906,1.83813,26.236,0.16518,3.1606,55,B0005
113,0.91792,1.83583,25.124,0.16525,3.1593,54,B0005
114,0.91792,1.83583,26.428,0.16525,3.1588,53,B0005
115,0.91694,1.83387,26.129,0.16532,3.1588,52,B0005
116,0.9166,1.83319,25.254,0.16534,3.1602,51,B0005
117,0.91577,1.83154,25.453,0.16539,3.16,50,B0005
118,0.91577,1.83154,25.673,0.16539,3.158,49,B0005
119,0.9142,1.8284,25.395,0.16549,3.1573,48,B0005
120,0.91309,1.82618,25.029,0.16556,3.1576,47,B0005
121,0.91297,1.82594,24.912,0.16557,3.1556,46,B0005
122,0.91227,1.82454,24.61,0.16561,3.1565,45,B0005
123,0.91212,1.82424,24.574,0.16562,3.156,44,B0005
124,0.91114,1.82228,24.986,0.16569,3.1559,43,B0005
125,0.91018,1.82036,22.717,0.16575,3.1543,42,B0005
126,0.91001,1.82002,23.631,0.16576,3.1534,41,B0005
127,0.90797,1.81593,23.591,0.16589,3.1519,40,B0005
128,0.90752,1.81504,23.412,0.16592,3.1526,39,B0005
129,0.90666,1.81331,22.851,0.16597,3.1529,38,B0005
130,0.90621,1.81241,21.946,0.166,3.1528,37,B0005
131,0.90499,1.80998,22.795,0.16608,3.1544,36,B0005
132,0.90499,1.80998,23.323,0.16608,3.1536,35,B0005
133,0.90413,1.80826,21.544,0.16614,3.1511,34,B0005
134,0.90278,1.80557,22.622,0.16622,3.1517,33,B0005
135,0.90229,1.80458,21.934,0.16625,3.1507,32,B0005
136,0.90224,1.80447,22.005,0.16626,3.1508,31,B0005
137,0.90178,1.80356,21.477,0.16629,3.1511,30,B0005
138,0.90164,1.80328,21.837,0.1663,3.1514,29,B0005
139,0.90138,1.80275,22.685,0.16631,3.1503,28,B0005
140,0.89941,1.79881,22.389,0.16644,3.1508,27,B0005
141,0.89799,1.79597,23.057,0.16653,3.1479,26,B0005
142,0.89669,1.79339,22.9,0.16661,3.1484,25,B0005
143,0.89669,1.79339,22.679,0.16661,3.1509,24,B0005
144,0.89591,1.79183,23.503,0.16666,3.1482,23,B0005
145,0.89539,1.79078,23.044,0.16669,3.1491,22,B0005
146,0.89457,1.78915,23.45,0.16675,3.1474,21,B0005
147,0.89409,1.78818,23.115,0.16678,3.1476,20,B0005
